frame_number,object_class,confidence_score,x1,y1,x2,y2
0,63,0.7175678610801697,684.9193,370.6822,1187.7844,591.8045
0,41,0.4224233627319336,1152.3267,304.96484,1273.6792,534.4745
1,63,0.6997427344322205,684.8689,370.3551,1187.8611,591.5189
1,41,0.39051470160484314,1152.824,304.6291,1273.7219,534.6711
2,63,0.709480345249176,684.928,370.1833,1187.8918,591.49335
2,41,0.3761831223964691,1152.6301,304.34503,1273.7991,534.64685
3,63,0.7297078967094421,685.05066,369.78894,1187.7703,591.4083
3,41,0.4186021685600281,1153.057,304.40698,1274.1117,534.5014
4,63,0.729963481426239,685.1516,369.8623,1187.8213,591.39264
4,41,0.41529032588005066,1153.2778,304.40063,1274.4233,534.4286
5,63,0.764380156993866,684.734,369.87915,1187.8287,591.05273
5,41,0.39877477288246155,1152.773,303.83777,1274.1499,534.52185
6,63,0.7825908064842224,684.8739,369.7812,1187.6014,591.9001
6,41,0.34460216760635376,1152.0844,303.3761,1273.9855,534.6195
7,63,0.8014816045761108,684.77136,369.4602,1187.653,592.0371
7,41,0.35388413071632385,1151.6785,303.40222,1273.6848,534.7058
8,63,0.80401611328125,684.5204,369.4489,1187.4402,591.81366
8,41,0.41800224781036377,1150.5898,303.75787,1272.9082,534.674
9,63,0.8152382373809814,684.1279,369.41754,1186.6406,591.95416
9,41,0.37591925263404846,1149.8442,303.75293,1272.5122,534.1196
10,63,0.8114509582519531,683.88184,369.5111,1186.7184,591.6455
10,41,0.36105960607528687,1149.7666,303.77234,1272.4802,534.15076
11,63,0.8106748461723328,683.9236,369.25598,1187.2725,591.42096
11,41,0.40214529633522034,1149.9712,303.7019,1272.6938,534.32544
12,63,0.8198288083076477,683.7781,369.19763,1187.1577,591.16614
12,41,0.28804823756217957,1149.8025,303.24518,1273.3472,533.9924
13,63,0.8226019740104675,683.69214,368.9206,1187.0464,590.47784
13,41,0.3697270452976227,1149.9382,303.92737,1273.0698,534.14935
14,63,0.8297700881958008,683.8391,369.07666,1187.5884,590.85394
14,41,0.32456180453300476,1150.2783,303.3606,1273.8633,533.9509
