frame_number,object_class,confidence_score,x1,y1,x2,y2
0,63,0.4846373498439789,268.1815,88.1218,524.3841,187.23993
1,63,0.5586634874343872,262.3902,84.86172,559.7792,187.13159
2,63,0.4160895347595215,257.4986,81.97262,559.12726,209.51819
3,63,0.3632102608680725,254.34859,80.825134,521.9375,202.04906
3,28,0.26187455654144287,253.182,80.78362,523.89716,208.84845
4,63,0.32127758860588074,250.41226,79.24815,560.60846,206.42435
5,63,0.42320868372917175,248.58931,78.67031,564.6372,207.46953
5,73,0.28435489535331726,0.14295119,148.60475,92.38483,281.5513
6,63,0.35904979705810547,248.47313,77.79451,547.0876,198.6516
7,63,0.41293394565582275,248.636,76.39409,542.5919,201.58795
8,63,0.5357609987258911,249.1225,74.69536,525.1661,202.04356
8,28,0.41560351848602295,248.58525,74.31183,526.4616,205.88069
9,63,0.44142231345176697,248.88286,72.74867,529.5135,196.82872
9,28,0.2746542990207672,248.21132,72.57191,533.6524,205.11813
10,63,0.44450050592422485,249.1368,71.82854,543.15985,195.91846
11,63,0.4316735565662384,250.6754,71.91849,558.4909,199.21877
12,63,0.4576508402824402,253.7147,73.61577,566.8322,206.94249
13,63,0.46460506319999695,256.57962,76.331116,561.7974,185.96329
14,63,0.5353726744651794,260.61682,77.82479,566.50024,206.24088
15,63,0.631929337978363,264.52603,78.37682,565.57904,200.73764
16,63,0.6292111873626709,268.69653,77.34753,566.34424,205.55103
17,63,0.7294606566429138,273.18564,75.66939,567.6173,209.65263
18,63,0.6546032428741455,275.89554,73.03899,567.5751,207.03194
19,63,0.5078797936439514,278.04025,70.59858,567.07605,187.07152
20,63,0.5578199028968811,280.66708,68.07765,566.7528,198.24915
21,63,0.3600171208381653,281.9809,64.833534,566.1399,201.97206
21,67,0.3082217574119568,281.18555,64.78248,566.59125,204.01283
22,63,0.44164738059043884,282.68536,60.84147,567.32263,186.98412
22,67,0.2707151174545288,281.93063,59.72326,567.99646,199.85808
23,63,0.5610846877098083,283.24612,56.38009,567.8142,189.63838
24,63,0.590187668800354,282.78738,54.06753,567.82904,192.08218
25,63,0.706610918045044,281.93448,52.04176,567.6206,186.27376
26,63,0.7546803951263428,281.3681,51.023582,567.53076,187.60747
27,63,0.7357466220855713,280.78192,51.441246,567.59863,188.21565
28,63,0.5677629709243774,280.82587,53.53319,567.8224,191.58887
29,63,0.34157004952430725,280.89758,56.17706,567.91077,194.01123
30,63,0.2563211917877197,280.98126,62.640408,567.6468,198.64757
31,63,0.41717109084129333,282.839,68.6322,567.41754,209.54124
32,63,0.6354228258132935,284.53403,75.137375,567.2852,214.06555
33,63,0.48232221603393555,286.0928,80.20724,567.71985,218.28482
34,63,0.3897533714771271,288.85333,84.42051,567.47235,224.71115
